,0,1,2,3,4,5,6,7,8,9
Clue (1985),Clue (1985),Spaceballs (1987),Three Amigos! (1986),So I Married an Axe Murderer (1993),Ghostbusters II (1989),Scrooged (1988),Harry and the Hendersons (1987),Little Shop of Horrors (1986),Back to the Future Part II (1989),"Golden Child, The (1986)"
Back to School (1986),Back to School (1986),Scrooged (1988),Gung Ho (1986),Weird Science (1985),Mr. Mom (1983),Funny Farm (1988),Arthur (1981),Harry and the Hendersons (1987),Weekend at Bernie's (1989),Blind Date (1987)
Addicted to Love (1997),Addicted to Love (1997),Picture Perfect (1997),Forces of Nature (1999),Only You (1994),"Object of My Affection, The (1998)","MatchMaker, The (1997)",Lost & Found (1999),In & Out (1997),Hope Floats (1998),Sleepless in Seattle (1993)
Pacific Heights (1990),Pacific Heights (1990),Dead Calm (1989),"General's Daughter, The (1999)",Arlington Road (1999),"Mosquito Coast, The (1986)",Pushing Tin (1999),Powder (1995),"Blair Witch Project, The (1999)",Desperately Seeking Susan (1985),Entrapment (1999)
"Saint, The (1997)","Saint, The (1997)","Jackal, The (1997)",Twister (1996),Die Hard 2 (1990),"Rock, The (1996)",Lethal Weapon 3 (1992),Die Hard: With a Vengeance (1995),Con Air (1997),Lethal Weapon 4 (1998),"Peacemaker, The (1997)"
Dazed and Confused (1993),Dazed and Confused (1993),Swingers (1996),Wayne's World (1992),There's Something About Mary (1998),Austin Powers: International Man of Mystery (1997),Clueless (1995),Chasing Amy (1997),Clerks (1994),"People vs. Larry Flynt, The (1996)",Scream (1996)
Scrooged (1988),Scrooged (1988),Weird Science (1985),Real Genius (1985),Fletch (1985),Gung Ho (1986),Stripes (1981),Three Amigos! (1986),Police Academy (1984),Lethal Weapon 2 (1989),"Money Pit, The (1986)"
Center Stage (2000),Center Stage (2000),Committed (2000),Polish Wedding (1998),Passion of Mind (1999),Washington Square (1997),Drive Me Crazy (1999),Margaret's Museum (1995),Keeping the Faith (2000),East is East (1999),"Virgin Suicides, The (1999)"
Whipped (2000),Whipped (2000),Up at the Villa (2000),Where the Money Is (2000),I Dreamed of Africa (2000),Screwed (2000),B*A*P*S (1997),Man of the House (1995),Wide Awake (1998),Where the Heart Is (2000),Love and Basketball (2000)
Funny Farm (1988),Funny Farm (1988),"Money Pit, The (1986)","'burbs, The (1989)",Scrooged (1988),Weird Science (1985),Police Academy 2: Their First Assignment (1985),Harry and the Hendersons (1987),Police Academy 4: Citizens on Patrol (1987),Back to School (1986),Three Amigos! (1986)
Poltergeist (1982),Poltergeist (1982),Gremlins (1984),"Shining, The (1980)",Friday the 13th (1980),Fright Night (1985),Carrie (1976),Ghostbusters (1984),"Exorcist, The (1973)","Thing, The (1982)",Poltergeist II: The Other Side (1986)
Free Willy (1993),Free Willy (1993),Casper (1995),Jumanji (1995),Pete's Dragon (1977),Anaconda (1997),Jingle All the Way (1996),"Little Rascals, The (1994)",Howard the Duck (1986),"Honey, I Shrunk the Kids (1989)","Indian in the Cupboard, The (1995)"
Searching for Bobby Fischer (1993),Searching for Bobby Fischer (1993),Quiz Show (1994),Trainspotting (1996),What's Eating Gilbert Grape (1993),GoodFellas (1990),Schindler's List (1993),"Truman Show, The (1998)","People vs. Larry Flynt, The (1996)",Good Will Hunting (1997),"Crying Game, The (1992)"
Stepmom (1998),Stepmom (1998),"Parent Trap, The (1998)",It Takes Two (1995),When a Man Loves a Woman (1994),"Cutting Edge, The (1992)",For Richer or Poorer (1997),Little Women (1994),"Man Without a Face, The (1993)",D2: The Mighty Ducks (1994),Mr. Wrong (1996)
Desperately Seeking Susan (1985),Desperately Seeking Susan (1985),Who Framed Roger Rabbit? (1988),Ghostbusters (1984),Pretty in Pink (1986),Splash (1984),Pacific Heights (1990),Diner (1982),Little Shop of Horrors (1986),Peggy Sue Got Married (1986),"Good Morning, Vietnam (1987)"
One Fine Day (1996),One Fine Day (1996),City of Angels (1998),Circle of Friends (1995),While You Were Sleeping (1995),Forces of Nature (1999),Sabrina (1995),French Kiss (1995),It Could Happen to You (1994),"American President, The (1995)",Notting Hill (1999)
"Full Monty, The (1997)","Full Monty, The (1997)",There's Something About Mary (1998),Groundhog Day (1993),Four Weddings and a Funeral (1994),Wayne's World (1992),Clueless (1995),Shakespeare in Love (1998),Austin Powers: International Man of Mystery (1997),Toy Story (1995),Get Shorty (1995)
Scream 2 (1997),Scream 2 (1997),Scream (1996),"Craft, The (1996)",Urban Legend (1998),I Know What You Did Last Summer (1997),I Still Know What You Did Last Summer (1998),Bride of Chucky (1998),Gremlins (1984),Candyman (1992),"Devil's Advocate, The (1997)"
"Devil's Advocate, The (1997)","Devil's Advocate, The (1997)",Scream (1996),Wild Things (1998),Heat (1995),Jacob's Ladder (1990),"Game, The (1997)",Casino (1995),Face/Off (1997),Ransom (1996),Scream 2 (1997)
Police Academy (1984),Police Academy (1984),"Money Pit, The (1986)",Three Amigos! (1986),Police Academy 2: Their First Assignment (1985),Scrooged (1988),Weird Science (1985),Crocodile Dundee (1986),Police Academy 3: Back in Training (1986),Ghostbusters II (1989),Back to the Future Part II (1989)
Police Academy 2: Their First Assignment (1985),Police Academy 2: Their First Assignment (1985),Police Academy 3: Back in Training (1986),Police Academy 4: Citizens on Patrol (1987),Police Academy 6: City Under Siege (1989),"Money Pit, The (1986)",Who's Harry Crumb? (1989),Police Academy (1984),Scrooged (1988),Funny Farm (1988),"'burbs, The (1989)"
Back to the Future Part II (1989),Back to the Future Part II (1989),Back to the Future Part III (1990),Spaceballs (1987),Back to the Future (1985),Superman II (1980),Cocoon (1985),Beetlejuice (1988),Star Trek: The Motion Picture (1979),Gremlins (1984),Lethal Weapon 2 (1989)
Psycho (1960),Psycho (1960),Alien (1979),Rear Window (1954),Vertigo (1958),Chinatown (1974),"Exorcist, The (1973)","Godfather: Part II, The (1974)","Birds, The (1963)",Young Frankenstein (1974),Taxi Driver (1976)
"Wrong Trousers, The (1993)","Wrong Trousers, The (1993)",Wallace & Gromit: The Best of Aardman Animation (1996),Toy Story (1995),"Princess Bride, The (1987)",Raising Arizona (1987),Monty Python and the Holy Grail (1974),Being John Malkovich (1999),Groundhog Day (1993),Toy Story 2 (1999),Babe (1995)
Drive Me Crazy (1999),Drive Me Crazy (1999),"In Crowd, The (2000)",Teaching Mrs. Tingle (1999),She's All That (1999),Artemisia (1997),8 Seconds (1994),Urban Legends: Final Cut (2000),Stiff Upper Lips (1998),Joe the King (1999),10 Things I Hate About You (1999)
So I Married an Axe Murderer (1993),So I Married an Axe Murderer (1993),Wayne's World 2 (1993),Tommy Boy (1995),Die Hard: With a Vengeance (1995),"Golden Child, The (1986)",Swingers (1996),Hot Shots! Part Deux (1993),Three Amigos! (1986),Buffy the Vampire Slayer (1992),Mallrats (1995)
Wayne's World (1992),Wayne's World (1992),Austin Powers: International Man of Mystery (1997),There's Something About Mary (1998),Pleasantville (1998),Liar Liar (1997),My Cousin Vinny (1992),Airplane! (1980),Ferris Bueller's Day Off (1986),Clueless (1995),Groundhog Day (1993)
Tomorrow Never Dies (1997),Tomorrow Never Dies (1997),GoldenEye (1995),"World Is Not Enough, The (1999)",Air Force One (1997),Die Hard: With a Vengeance (1995),Mission: Impossible (1996),Enemy of the State (1998),Patriot Games (1992),Die Hard 2 (1990),Speed (1994)
Police Academy 3: Back in Training (1986),Police Academy 3: Back in Training (1986),Police Academy 2: Their First Assignment (1985),Police Academy 4: Citizens on Patrol (1987),Police Academy 6: City Under Siege (1989),"Money Pit, The (1986)",Who's Harry Crumb? (1989),Police Academy (1984),Crocodile Dundee II (1988),Scrooged (1988),"'burbs, The (1989)"
Police Academy 6: City Under Siege (1989),Police Academy 6: City Under Siege (1989),Police Academy 2: Their First Assignment (1985),Police Academy 3: Back in Training (1986),Police Academy 4: Citizens on Patrol (1987),Black Sheep (1996),Porky's II: The Next Day (1983),Scrooged (1988),Back to School (1986),Who's Harry Crumb? (1989),Three Amigos! (1986)
Threesome (1994),Threesome (1994),Basic Instinct (1992),House Party 2 (1991),Spanking the Monkey (1994),Meatballs Part II (1984),House Arrest (1996),Unforgettable (1996),When Night Is Falling (1995),Caught (1996),"Crossing Guard, The (1995)"
Erin Brockovich (2000),Erin Brockovich (2000),Gladiator (2000),"Sixth Sense, The (1999)","Talented Mr. Ripley, The (1999)",American Beauty (1999),Shakespeare in Love (1998),Almost Famous (2000),Frequency (2000),High Fidelity (2000),"Cider House Rules, The (1999)"
Buffy the Vampire Slayer (1992),Buffy the Vampire Slayer (1992),"Craft, The (1996)",So I Married an Axe Murderer (1993),Gremlins (1984),Bram Stoker's Dracula (1992),"Frighteners, The (1996)",Army of Darkness (1993),From Dusk Till Dawn (1996),Little Shop of Horrors (1986),"Relic, The (1997)"
Peggy Sue Got Married (1986),Peggy Sue Got Married (1986),Pretty in Pink (1986),Arthur (1981),Grease (1978),Mr. Mom (1983),Terms of Endearment (1983),Private Benjamin (1980),Splash (1984),Sleepless in Seattle (1993),Grease 2 (1982)
Conspiracy Theory (1997),Conspiracy Theory (1997),Con Air (1997),Die Hard: With a Vengeance (1995),"Rock, The (1996)",Twister (1996),Mission: Impossible (1996),"Jackal, The (1997)",Speed (1994),True Lies (1994),Air Force One (1997)
Breaking Away (1979),Breaking Away (1979),American Graffiti (1973),Amadeus (1984),Kramer Vs. Kramer (1979),"French Connection, The (1971)","Right Stuff, The (1983)","Great Santini, The (1979)",Midnight Cowboy (1969),Heaven Can Wait (1978),One Flew Over the Cuckoo's Nest (1975)
Chinatown (1974),Chinatown (1974),L.A. Confidential (1997),"Manchurian Candidate, The (1962)",Psycho (1960),"Maltese Falcon, The (1941)","Big Sleep, The (1946)","Godfather: Part II, The (1974)",Rear Window (1954),"Godfather, The (1972)",Vertigo (1958)
"English Patient, The (1996)","English Patient, The (1996)","Fisher King, The (1991)",Titanic (1997),Jerry Maguire (1996),"American President, The (1995)","Piano, The (1993)",Forrest Gump (1994),Dances with Wolves (1990),Four Weddings and a Funeral (1994),Leaving Las Vegas (1995)
Murphy's Romance (1985),Murphy's Romance (1985),"Goodbye Girl, The (1977)",Night Shift (1982),Prizzi's Honor (1985),"Odd Couple, The (1968)",Splash (1984),Mr. Mom (1983),Heaven Can Wait (1978),On Golden Pond (1981),Melvin and Howard (1980)
Cold Comfort Farm (1995),Cold Comfort Farm (1995),"Winslow Boy, The (1998)",Crimes of the Heart (1986),"Addiction, The (1995)","Opposite of Sex, The (1998)",Smoke Signals (1998),American Buffalo (1996),Ed Wood (1994),Henry Fool (1997),Eyes Without a Face (1959)
"Outlaw Josey Wales, The (1976)","Outlaw Josey Wales, The (1976)",High Plains Drifter (1972),Pale Rider (1985),For a Few Dollars More (1965),Hang 'em High (1967),Magnum Force (1973),Unforgiven (1992),"Dirty Dozen, The (1967)",Jeremiah Johnson (1972),"Wild Bunch, The (1969)"
"Mummy, The (1932)","Mummy, The (1932)",House on Haunted Hill (1958),"Mummy, The (1959)",Dracula (1931),"Wolf Man, The (1941)","Fog, The (1980)",Fright Night Part II (1989),"Blob, The (1958)",Pit and the Pendulum (1961),"Omen, The (1976)"
Spice World (1997),Spice World (1997),"Pest, The (1997)",In Dreams (1999),"Replacement Killers, The (1998)",Mighty Morphin Power Rangers: The Movie (1995),"Big Hit, The (1998)",Body Shots (1999),Stiff Upper Lips (1998),Striptease (1996),Evita (1996)
"Searchers, The (1956)","Searchers, The (1956)","Wild Bunch, The (1969)",High Noon (1952),Once Upon a Time in the West (1969),Jeremiah Johnson (1972),Little Big Man (1970),"Big Country, The (1958)","Old Man and the Sea, The (1958)",For a Few Dollars More (1965),McCabe & Mrs. Miller (1971)
Belle de jour (1967),Belle de jour (1967),Days of Heaven (1978),Midnight Cowboy (1969),Who's Afraid of Virginia Woolf? (1966),He Walked by Night (1948),Bonnie and Clyde (1967),Hud (1963),Aparajito (1956),Glen or Glenda (1953),Cat on a Hot Tin Roof (1958)
Beyond Rangoon (1995),Beyond Rangoon (1995),Mother Night (1996),"Sweet Hereafter, The (1997)",Passion Fish (1992),My Left Foot (1989),Bossa Nova (1999),Wide Awake (1998),Dead Man Walking (1995),Michael Collins (1996),"Rapture, The (1991)"
Shane (1953),Shane (1953),Stalag 17 (1953),Mr. Smith Goes to Washington (1939),High Noon (1952),North by Northwest (1959),Psycho (1960),Strangers on a Train (1951),Spartacus (1960),"African Queen, The (1951)",Papillon (1973)
Lone Star (1996),Lone Star (1996),Big Night (1996),"Usual Suspects, The (1995)","Grifters, The (1990)","Spanish Prisoner, The (1997)",JFK (1991),"Player, The (1992)",Hoop Dreams (1994),Unforgiven (1992),Pulp Fiction (1994)
Walking and Talking (1996),Walking and Talking (1996),Glory Daze (1996),Coldblooded (1995),Broken Vessels (1998),Savior (1998),Montana (1998),Mr. Jealousy (1997),Kicking and Screaming (1995),Eight Days a Week (1997),Little Men (1998)
Diva (1981),Diva (1981),Koyaanisqatsi (1983),Fitzcarraldo (1982),Chungking Express (1994),Year of Living Dangerously (1982),Chinatown (1974),Charade (1963),Down by Law (1986),"Underneath, The (1995)",Notorious (1946)
Unforgiven (1992),Unforgiven (1992),"Usual Suspects, The (1995)","Fugitive, The (1993)",Dances with Wolves (1990),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Fargo (1996),Pulp Fiction (1994),L.A. Confidential (1997),Die Hard (1988)
Return to Me (2000),Return to Me (2000),28 Days (2000),Keeping the Faith (2000),Where the Heart Is (2000),Frequency (2000),High Fidelity (2000),Erin Brockovich (2000),Gladiator (2000),My Dog Skip (1999),Wonder Boys (2000)
Patton (1970),Patton (1970),Apocalypse Now (1979),"Bridge on the River Kwai, The (1957)",Stalag 17 (1953),"Dirty Dozen, The (1967)","Right Stuff, The (1983)",Tora! Tora! Tora! (1970),"Great Escape, The (1963)","Godfather: Part II, The (1974)","Deer Hunter, The (1978)"
Walkabout (1971),Walkabout (1971),Limbo (1999),Mephisto (1981),Faust (1994),Mike's Murder (1984),Caught (1996),Sid and Nancy (1986),Ran (1985),"Filth and the Fury, The (2000)",Five Easy Pieces (1970)
High Noon (1952),High Noon (1952),"Searchers, The (1956)",Once Upon a Time in the West (1969),For a Few Dollars More (1965),Lawrence of Arabia (1962),"Wild Bunch, The (1969)",Ben-Hur (1959),High Plains Drifter (1972),Hud (1963),"Outlaw Josey Wales, The (1976)"
Popeye (1980),Popeye (1980),Harry and the Hendersons (1987),Three Amigos! (1986),Crocodile Dundee II (1988),Private Benjamin (1980),Crocodile Dundee (1986),Little Shop of Horrors (1986),Superman IV: The Quest for Peace (1987),Howard the Duck (1986),Batman Returns (1992)
Hud (1963),Hud (1963),High Noon (1952),McCabe & Mrs. Miller (1971),"Treasure of the Sierra Madre, The (1948)",For a Few Dollars More (1965),Klute (1971),"African Queen, The (1951)","Searchers, The (1956)",Belle de jour (1967),"Asphalt Jungle, The (1950)"
Yojimbo (1961),Yojimbo (1961),Kagemusha (1980),Ran (1985),Sanjuro (1962),Dersu Uzala (1974),Battling Butler (1926),"General, The (1927)","Adventures of Robin Hood, The (1938)","City of Lost Children, The (1995)",Pather Panchali (1955)
Nashville (1975),Nashville (1975),"Last Picture Show, The (1971)",Chinatown (1974),Network (1976),Midnight Cowboy (1969),Raging Bull (1980),Five Easy Pieces (1970),"Wild Bunch, The (1969)",Carnal Knowledge (1971),Who's Afraid of Virginia Woolf? (1966)
Rear Window (1954),Rear Window (1954),Vertigo (1958),Psycho (1960),North by Northwest (1959),Chinatown (1974),"Wizard of Oz, The (1939)","Third Man, The (1949)","Maltese Falcon, The (1941)",2001: A Space Odyssey (1968),Casablanca (1942)
Being There (1979),Being There (1979),Network (1976),Annie Hall (1977),Young Frankenstein (1974),American Graffiti (1973),Sleeper (1973),Blazing Saddles (1974),Little Big Man (1970),"Paper Chase, The (1973)","Sting, The (1973)"
Jonah Who Will Be 25 in the Year 2000 (1976),Jonah Who Will Be 25 in the Year 2000 (1976),Deadtime Stories (1987),Sleepaway Camp (1983),Holy Smoke (1999),Deadly Friend (1986),Underground (1995),Kronos (1973),Two Thousand Maniacs! (1964),Days of Heaven (1978),Class of Nuke 'Em High (1986)
Guys and Dolls (1955),Guys and Dolls (1955),Gypsy (1962),"King and I, The (1956)",My Fair Lady (1964),All That Jazz (1979),Cinderella (1950),Cabaret (1972),West Side Story (1961),Sleeping Beauty (1959),Gigi (1958)
On the Waterfront (1954),On the Waterfront (1954),Rebel Without a Cause (1955),Midnight Cowboy (1969),Citizen Kane (1941),"Treasure of the Sierra Madre, The (1948)",Key Largo (1948),Casablanca (1942),North by Northwest (1959),Cool Hand Luke (1967),Network (1976)
Marty (1955),Marty (1955),Stalag 17 (1953),Bonnie and Clyde (1967),Melvin and Howard (1980),"Killing, The (1956)",On the Waterfront (1954),Carnal Knowledge (1971),"Verdict, The (1982)","Conversation, The (1974)",Raging Bull (1980)
Children of a Lesser God (1986),Children of a Lesser God (1986),On Golden Pond (1981),"Right Stuff, The (1983)","Big Chill, The (1983)",Broadcast News (1987),Ordinary People (1980),Chariots of Fire (1981),"Color Purple, The (1985)",Field of Dreams (1989),"Verdict, The (1982)"
"Elephant Man, The (1980)","Elephant Man, The (1980)",Raging Bull (1980),"Sex, Lies, and Videotape (1989)","Big Chill, The (1983)","Right Stuff, The (1983)",Terms of Endearment (1983),Midnight Express (1978),Amadeus (1984),Hoosiers (1986),My Bodyguard (1980)
